GICS_Sector,Average_Volume,Average_Return,Price_Volatility
Industrials,2874570.8615406416,1052.3100616774935,123.00585830992641
Information Technology,1.0384166680011563E7,451.1517823831562,148.07450170930588
Communication Services,1.451276223865721E7,368.5600770504023,150.63497263419282
Consumer Staples,4886945.300319819,368.0098249464728,89.15767884002824
Real Estate,2305351.3857092387,311.7607021852989,144.83527500857832
Consumer Discretionary,1.3653202504391737E7,198.4466173110285,919.8048962213986
Health Care,3964017.681916678,132.4398832039972,200.64579892904564
Materials,3737997.9014778323,89.5610795955252,95.27881278218942
Energy,8193697.326458037,40.8635545726223,43.508459791057895
Utilities,3900828.6356081003,-1.2544279946227,28.856049589699463
Financials,5383263.359024691,-58.4652044941423,117.61012472409048
