GICS_Sector,Security,Total_Market_Cap
Communication Services,Meta Platforms,6681449234555.2772846
Consumer Discretionary,"Tesla, Inc.",23796865751605.5720471
Consumer Staples,Walmart,1227110838825.0454663
Energy,ExxonMobil,1747555934418.9297633
Financials,Bank of America,2048266716038.0526523
Health Care,Moderna,1677624580189.1360138
Industrials,Boeing,3194504627247.4373387
Information Technology,Apple Inc.,14199629845566.5073199
Materials,Linde plc,610954175567.8366602
Real Estate,American Tower,520606745056.4240373
Utilities,NextEra Energy,716282190201.7853925
