Headquarters_Location,Average_Volume,Average_Close
"Cupertino, California",1.0380246723767886E8,118.99262750925994
"Dearborn, Michigan",6.484895872019078E7,10.19896513612091
"Austin, Texas",4.899686290355061E7,118.83771478453906
"Seattle, Washington",2.996617873264441E7,80.79611253106669
"Redmond, Washington",2.9784870383942768E7,227.21064538152114
"Skillman, New Jersey",2.5039687682758622E7,22.58774471940759
"Menlo Park, California",2.3642137888712242E7,232.44089834943983
"Boise, Idaho",2.1036132812400635E7,59.97292014184189
"Santa Clara, California",2.0566301142786168E7,145.34908062892454
"Philadelphia, Pennsylvania",2.006688609697933E7,41.57927458540246
"Mountain View, California",1.768282520429253E7,239.12588375740501
"Miami, Florida",1.3946918871489136E7,61.32049169626312
"Charlotte, North Carolina",1.3877430958187599E7,85.18492544474410
"Dallas, Texas",1.2820903669157393E7,57.81789654169261
"Burbank, California",1.213222150953895E7,128.06919265892734
"Kenilworth, New Jersey",1.0522710162162162E7,79.73762290542218
"San Francisco, California",1.0129925890295358E7,128.68282618516886
"Oklahoma City, Oklahoma",9925341.706677265,32.16915758501343
"Westlake, Texas",9902002.499205088,55.83224465775119
"San Ramon, California",9571950.981717011,114.02818478461582
"Phoenix, Arizona",9140261.997880233,59.65941450933280
"San Jose, California",9030151.800794913,156.17626739404890
"Jacksonville, Florida",8871447.086248012,65.91110486900862
"Juno Beach, Florida",8719876.640699523,65.67858010369404
"Foster City, California",8419538.13672496,63.20954313111518
"Marlborough, Massachusetts",8316865.29809221,42.12416929053951
"New Brunswick, New Jersey",8258619.735294118,145.26817243542790
"Denver, Colorado",8165413.284578696,46.88118298898927
"Detroit, Michigan",8074625.216613673,70.48359720127055
"Woonsocket, Rhode Island",7793002.010333863,71.55307510812711
"Bentonville, Arkansas",7550225.492050874,128.62941089381757
"Chicago, Illinois; Pittsburgh, Pennsylvania",7490357.382352941,32.04846083302814
"Houston, Texas",7352618.221409645,58.61076688475913
"Los Gatos, California",7334464.065977743,398.45837003286479
"Cincinnati, Ohio",7090516.47535771,63.56512885707650
"Washington County, Oregon",7066148.070747218,111.23045688441264
"Richmond, Virginia",6629294.114864865,51.84043924910914
"Arlington, Virginia",6444022.928060413,205.31161895958196
"North Chicago, Illinois",6426981.342209857,101.47286504554547
"Framingham, Massachusetts",6415666.162162162,62.69654516575024
"Palo Alto, California",6393978.298489667,235.02556235233112
"New York City, New York",6274510.940665456,134.17268806442842
"Irving, Texas",6071606.208585056,150.07581198287569
"Las Vegas, Nevada",6036808.0,50.00515936440692
"Tulsa, Oklahoma",5921071.391494435,36.29489167619742
"Burlington, Massachusetts",5749286.9014308425,30.52408115435525
"Palm Beach Gardens, Florida",5431728.784334764,40.86953066858788
"Atlanta, Georgia",5200155.14794206,120.14330837638598
"Midland, Michigan",5084530.664695946,47.65530909557601
"Boston, Massachusetts",5068085.297032326,116.88424082009658
"Armonk, New York",4983874.836248012,114.77893977324507
"Chandler, Arizona",4902012.313195549,61.36407703587623
"Purchase, New York",4841250.235294118,142.95704709706733
"Corning, New York",4793397.763116057,30.86765579578458
"Cork, Ireland",4693662.16772655,49.79353766600676
"Wilmington, Delaware",4647505.056438792,65.08688937764746
"Akron, Ohio",4341026.583465818,35.43120950204603
"San Diego, California",4225930.902066773,100.27970566529711
"Minneapolis, Minnesota",4208681.893879173,117.00018431461930
"San Antonio, Texas",4172209.718600954,81.73887121810143
"Waltham, Massachusetts",4160897.7027027025,263.44735762803986
"Mooresville, North Carolina",4036679.2209856915,162.57168218555151
"Brookfield, Wisconsin",3999587.850556439,105.10862479035676
"Golden Valley, Minnesota",3960943.5898251194,59.17832830941622
"Cambridge, Massachusetts",3892514.5967100025,212.43280387842038
"Bellevue, Washington",3785046.763116057,85.18500244901749
"Winona, Minnesota",3724996.6883942764,43.91585691782504
"Harrison, New York",3694714.1796502382,321.89164139546025
"Arlington, Texas",3657333.8354531,73.80892668240350
"Chicago, Illinois",3579905.269953571,114.96490319555897
"Minnetonka, Minnesota",3565164.5317965024,376.85250232254038
"Teaneck, New Jersey",3545503.951510334,65.86235524285310
"Sandy Springs, Georgia",3483618.19872814,145.82436064582361
"Irvine, California",3271029.918918919,83.90709322397361
"Sunnyvale, California",3219747.381028087,181.46203128484218
"Wilmington, Massachusetts",3175425.795707472,138.93914197548816
"Ferguson, Missouri",3161379.189984102,75.94939877459960
"Columbus, Georgia",3157993.6955484897,52.08408870909380
"Omaha, Nebraska",3147148.4149443563,189.42318028751773
"Allentown, Pennsylvania",3132521.8131955485,134.53289845486260
"Indianapolis, Indiana",3025056.9094055374,191.22503123143732
"Washington, D.C.",2964705.2436406994,131.98704009821868
"Eindhoven, Netherlands",2866859.722575517,149.73915338743680
"Mayfield Village, Ohio",2862388.781399046,97.13267082250739
"St. Louis, Missouri",2778063.021065183,71.67491860078939
"Thousand Oaks, California",2752836.7122416534,212.53350249079865
"Tysons Corner, Virginia",2676454.86963434,108.57338048998712
"Dublin, Ohio",2650618.0691573927,56.02571522601955
"Midland, Texas",2637744.631160572,90.20121694482909
"Wallingford, Connecticut",2635932.6907790145,63.18013360731534
"Toledo, Ohio",2507720.961049285,69.40743718806828
"Chesapeake, Virginia",2499877.4578696345,117.10972958490453
"Dublin, California",2456479.763116057,101.65523140608696
"Davidson, North Carolina",2448572.6764705884,44.35180766555874
"Farmington, Connecticut",2412510.765021459,72.64219611499571
"Riverwoods, Illinois",2385226.8116057236,85.68764680974610
"Newark, New Jersey",2338700.2662957073,67.94859658894766
"Everett, Washington",2332941.581081081,64.67316771842576
"Saint Paul, Minnesota",2328715.086645469,159.73410813797138
"Issaquah, Washington",2273541.5898251194,394.85649135571630
"Dublin, Ireland",2269628.5213301536,148.56149183939466
"Rotterdam, Netherlands",2263294.7496025437,75.58327435916685
"Beverly Hills, California",2216085.0492845788,76.16760737566216
"Goodlettsville, Tennessee",2161937.60254372,184.06013375359785
"Rosemead, California",2139490.554054054,57.25515811052941
"Pittsburgh, Pennsylvania",2072905.5631955485,93.13937571052574
"Parsippany, New Jersey",2000930.3895071542,153.39025638137687
"Bloomfield, Connecticut",1978473.5333863276,219.84981511393617
"Hartford, Connecticut",1957126.7750397457,66.10513555302341
"Bethesda, Maryland",1923454.90063593,254.93353719362754
"Hamilton, Bermuda",1905887.3990461049,45.40990463614682
"Northbrook, Illinois",1900232.6287758346,106.52683835416288
"Roseland, New Jersey",1887934.56836248,184.17901402096073
"Guildford, United Kingdom",1864662.5524642288,262.83434649832941
"Zurich, Switzerland",1838936.8028616852,163.50209855654245
"Penfield, New York",1833367.808426073,93.77040880624762
"Moline, Illinois",1772785.8990461049,282.62399415712242
"Vancouver, Canada",1695216.438791733,301.45725759679157
"Redwood City, California",1684077.123608903,379.32268674877925
"Nashville, Tennessee",1657206.7027027027,186.18008940777114
"Fremont, California",1637322.29809221,423.23305937823474
"Baltimore, Maryland",1601030.787492762,110.11344311730237
"Ewing, New Jersey",1532196.0262321145,81.03007207424603
"Columbus, Ohio",1504687.6840222576,593.59282208550684
"Louisville, Kentucky",1410880.8489666136,254.60506876170862
"Memphis, Tennessee",1390807.694356121,924.05098758631272
"Warsaw, Indiana",1386049.449125596,126.21530673538005
"Franklin Lakes, New Jersey",1382759.7368839427,237.53075945055246
"Kalamazoo, Michigan",1378735.9507154212,225.53626331274817
"New Orleans, Louisiana",1367673.813990461,95.21559089697099
"Milpitas, California",1338965.7027027027,277.39815968208887
"Daytona Beach, Florida",1327565.2138314785,50.26594503278355
"Santa Rosa, California",1323650.655007949,131.19732107456463
"Falls Church, Virginia",1295647.555643879,182.76969695584086
"Victor, New York",1279516.406200318,206.56976933320270
"Schaffhausen, Switzerland",1272900.7277424482,104.31243048487623
"Conshohocken, Pennsylvania",1261093.0238473767,118.86165463033665
"St. Petersburg, Florida",1252231.1717011128,76.69532362569571
"Melbourne, Florida",1251089.6899841018,190.72399373501828
"Brentwood, Tennessee",1225874.2567567567,158.98065730157130
"London, UK",1185758.4228934818,243.08289807779038
"Glenview, Illinois",1165283.8871224166,188.74733982177377
"Durham, North Carolina",1139789.4197138315,189.41120053095747
"Milwaukee, Wisconsin",1136411.3628775834,157.42674300401530
"White Plains, New York",1134344.3744038155,90.64670392326025
"Berwyn, Pennsylvania",1103261.3370429252,114.79070047581558
"Columbus, Indiana",1090130.2376788554,193.64385536327337
"Hershey, Pennsylvania",1060774.2503974563,169.45039640587337
"Buffalo, New York",1050011.414944356,135.45627670409483
"Salt Lake City, Utah",973021.9721780604,128.30656501030207
"Rolling Meadows, Illinois",954346.525437202,137.07133318320350
"Camden, New Jersey",952201.7750397456,134.75594488122782
"Cleveland, Ohio",930495.2946475887,342.15500806839939
"West Falls Church, Virginia",923934.1645468998,366.01610755617353
"Birmingham, Alabama",918829.7027027027,155.86998916165159
"Bolingbrook, Illinois",916580.4960254373,345.41724848178824
"Stamford, Connecticut",911338.5365659777,328.20931914450342
"Jersey City, New Jersey",897306.9340222576,177.48430557736129
"Downers Grove, Illinois",882719.1685214626,122.58903826969746
"Lincolnshire, Illinois",878133.319554849,148.73906549475087
"Glendale, California",869119.2734499205,241.96905894802798
"London, United Kingdom",854004.6351351351,204.30719849263633
"Thomasville, North Carolina",801821.2893481717,231.82744449197035
"Tarrytown, New York",798687.5166931638,567.63769509417321
"Boca Raton, Florida",702339.7734499205,267.90209673470811
"Lake Success, New York",621081.7456279809,137.61314005161995
"Dulles, Virginia",617266.0747217806,202.17663752521057
"Long Beach, California",504110.8656597774,234.51347395346463
"Raleigh, North Carolina",503007.4952305246,306.47454721181065
"Mason, Ohio",490038.6915739269,343.45781250485397
"Westbrook, Maine",482153.4069952305,411.00648621042329
"Canonsburg, Pennsylvania",480479.8386327504,283.32897043152369
"Exton, Pennsylvania",458195.3092209857,270.57925984514626
"Kirkland, Washington",442079.1693163752,329.62718228581359
"Norwalk, Connecticut",389804.81875993643,2126.46987260052321
"Newport Beach, California",376887.66852146265,1324.55101733670866
"Lake Forest, Illinois",330097.37758346583,434.85822801938728
"Bozeman, Montana",233879.2972972973,474.05389508609793
"Reston, Virginia",24377.9960254372,4369.62833510068704
