Year,Month,Average_Volume
2018,11,6275451.129912664
2018,12,7001541.048520302
2019,1,6332191.038792657
2019,2,5375093.650228833
2019,3,5594800.263446421
2019,4,5077100.69249743
2019,5,5420091.755902439
2019,6,5155825.4623115575
2019,7,4593247.670648796
2019,8,5030448.509032634
2019,9,4840218.782622601
2019,10,4789367.872898578
2019,11,4696427.7027600845
2019,12,4638537.147406734
2020,1,5536531.286523102
2020,2,6968754.376466644
2020,3,1.1149680201541426E7
2020,4,8269011.256216652
2020,5,7259037.329598309
2020,6,7312176.520661157
2020,7,6394395.455803229
2020,8,5701805.82923648
2020,9,6528909.507259437
2020,10,5703306.246998285
2020,11,6598237.325890985
2020,12,5705840.211781473
2021,1,6767204.779584661
2021,2,6156229.605537853
2021,3,6543989.962313602
2021,4,5209242.839565861
2021,5,5724393.836853002
2021,6,5236343.977131564
2021,7,4957142.046633146
2021,8,4711390.132599285
2021,9,5197491.651680962
2021,10,5113627.937703302
2021,11,5626433.661058638
2021,12,5614647.321549137
2022,1,6986262.713976722
2022,2,6971373.858782759
2022,3,7061927.653605296
2022,4,6102674.729526749
2022,5,7315397.484910836
2022,6,6620324.0300803445
2022,7,5772919.144781491
2022,8,5289902.328809928
2022,9,6053213.7769629415
2022,10,6518965.795327925
2022,11,6079084.299082748
2022,12,5417754.634272346
2023,1,5593428.068711656
2023,2,5757778.567861372
2023,3,6140006.188761448
2023,4,4988259.079108815
2023,5,5618260.523986267
2023,6,5630283.058794946
2023,7,5223078.615102041
2023,8,4925616.414640639
2023,9,5044304.403587444
2023,10,5333242.649601925
2023,11,4977310.476782077
