Year,Quarter,Average_Volume
2018,4,6932504.473323645
2019,1,5779796.115904311
2019,2,5222055.902396618
2019,3,4820726.946716935
2019,4,4710814.496366592
2020,1,7969161.340246406
2020,2,7614251.848048592
2020,3,6211283.375699888
2020,4,5983561.24460879
2021,1,6492822.129770732
2021,2,5382292.223924262
2021,3,4951529.540340321
2021,4,5454409.524295354
2022,1,7009777.836526012
2022,2,6688768.490408868
2022,3,5691267.356755368
2022,4,6004773.887110417
2023,1,5846556.39524375
2023,2,5429525.0492786085
2023,3,5057722.369956609
2023,4,5163751.138735332
